"","Entity","Year","Code","nuclear_weapons_stockpile","military1","const_expenditure","curr_expenditure","GDPShare","govtShare","Miliary_exp_mil"
"1","China",1988,"CHN",228,6004000,19576.596589557,11251.332630388,0.0244710131532583,0.13206339977679,35645.666315194
"2","China",1989,"CHN",230,6004000,19576.596589557,11251.332630388,0.0244710131532583,0.13206339977679,35645.666315194
"3","China",1990,"CHN",232,6004000,21281.5764286053,9926.34925081692,0.0245401611552735,0.137473617006491,34983.1746254085
"4","China",1991,"CHN",234,6004000,22620.36200553,9802.37536607312,0.0231124341155315,0.142536409948237,34921.1876830366
"5","China",1992,"CHN",234,6004000,27509.2485370267,12244.2678422149,0.0244954206753443,0.168676255164799,36142.1339211075
"6","China",1993,"CHN",234,6004000,25297.171578338,12360.2258606446,0.0192806687404062,0.147961048080659,36200.1129303223
"7","China",1994,"CHN",234,6004000,24340.8772964727,9867.12006627418,0.0169347959870483,0.140883852274478,34953.5600331371
"8","China",1995,"CHN",234,6004000,25281.7799397614,12385.1294749875,0.0168623388691537,0.151579223649271,36212.5647374937
"9","China",1996,"CHN",234,6004000,26783.8685200169,14275.4008199732,0.0165272667000964,0.149527564537426,37157.7004099866
"10","China",1997,"CHN",232,6004000,28573.4675600047,15699.5867685755,0.0163265067284541,0.140949696959647,37869.7933842877
"11","China",1998,"CHN",232,6004000,31198.6922851269,17031.7801996918,0.0165508069090551,0.130582586141406,38535.8900998459
"12","China",1999,"CHN",232,6004000,38033.7874361534,20473.9150947667,0.0187146591412577,0.125206707139387,40256.9575473833
"13","China",2000,"CHN",232,6004000,41167.3434800855,22237.1401512145,0.018303437176953,0.113387431703261,41138.5700756072
"14","China",2001,"CHN",235,6004000,48813.3822411676,26561.4629982924,0.0197618599097992,0.114198984467392,43300.7314991462
"15","China",2002,"CHN",235,6004000,56064.3539776357,30284.1274099972,0.0204968606201025,0.111891274367617,45162.0637049986
"16","China",2003,"CHN",235,6004000,60675.1938887723,33144.0004814458,0.0198340627424446,0.109738296106415,46592.0002407229
"17","China",2004,"CHN",235,6733770,66832.0564073786,37904.571826996,0.0192776497620507,0.108797945926996,52621.135913498
"18","China",2005,"CHN",235,8146560,73390.2471068438,42789.9536509024,0.0185334243982047,0.102287613100585,62127.7768254512
"19","China",2006,"CHN",235,11966560,84476.9519885385,51453.3732338486,0.0185464883982163,0.10187304699294,85559.4866169243
"20","China",2007,"CHN",235,7558560,92862.2056942764,62136.5907545887,0.0173981285883451,0.0962773653825956,68861.0953772944
"21","China",2008,"CHN",235,13874980,101601.438251314,78840.8028198629,0.0171233436060411,0.0764650934992803,108795.301409931
"22","China",2009,"CHN",240,13874980,123287.193196601,96601.6667529542,0.0188613315154918,0.073992884936945,117675.733376477
"23","China",2010,"CHN",240,11774700,129359.45309854,105522.648101838,0.0173947515006373,0.0696911584511205,111634.824050919
"24","China",2011,"CHN",240,11774700,138869.453366725,125286.373164011,0.0166557605252678,0.0616618115195222,121516.686582005
"25","China",2012,"CHN",240,15232500,153137.643796996,145127.609596207,0.0169336816326385,0.0603539585943168,148726.304798104
"26","China",2013,"CHN",250,16960800,165588.732015379,164070.469321744,0.0170285509558016,0.0596763314725654,166839.234660872
"27","China",2014,"CHN",250,19998900,178806.152020359,182109.32599168,0.0172868906768382,0.0596824893883425,191049.16299584
"28","China",2015,"CHN",260,22011600,192843.125211127,196538.82723079,0.0175071776735043,0.0559544699877189,208327.413615395
"29","China",2016,"CHN",260,21195000,203944.216417058,198538.361427554,0.0177069571932743,0.055450283479378,205244.180713777
"30","China",2017,"CHN",270,21195000,216487.099942367,210443.034740968,0.0174645507017874,0.0542723076541776,211196.517370484
"31","China",2018,"CHN",280,21195000,229168.100155504,232530.595985266,0.0173953368321942,0.0510214975117353,222240.297992633
